20:11:02:15:01:80,1
20:11:02:15:01:42,2
20:11:02:15:01:15,3
20:11:02:15:01:75,4
20:11:02:15:01:77,5
20:11:02:15:01:51,6
20:11:02:15:01:93,7
00:12:02:01:07:82,8
00:12:02:01:00:04,9
20:11:02:15:01:17,10
00:12:02:01:06:25,11
20:11:02:15:01:50,12
00:12:02:01:08:76,13
20:11:02:15:01:34,14
20:11:02:15:01:90,15
00:11:72:14:01:98,16
20:11:02:15:01:67,17
20:11:02:15:01:83,18
20:11:02:15:01:79,19
